Product_Id,Product_Name,Quantity,Price
5218,Yellow SMD LED 0603,6,2
5216,Blue SMD LED 0603,6,2
5215,Red SMD LED 0603,3,1
5213,MicroUSB Connector Pitch 5.9mm,6,9
5211,Mini Limit Switch,6,15
5131,OB2263 SOT23-6,3,12
4898,1N5822,637,5
4896,P6KE180A,7,8
4888,1nF 2KV (102),7,3
4876,FR107 1A 1000V DO-41,65,2
5229,4P JST XH 2.5mm Housing,8,2
5228,3P JST XH 2.5mm Housing,5,2
5227,2P JST XH 2.5mm Housing,4,1
5226,4P JST XH 2.5mm Side Entry Header,4,4
5225,4P JST XH 2.5mm Top Entry Header,7,3
5224,3P JST XH 2.5mm Side Entry Header,47,3
5223,3P JST XH 2.5mm Top Entry Header,4,2
5222,2P JST XH 2.5mm Side Entry Header,7,2
5221,2P JST XH 2.5mm Top Entry Header,4,2
5212,3P AC Power Cable,54,110
5189,FFC/FPC Cable 40 pin 0.5mm 10cm,5,45
5188,FFC/FPC Connector 40 Pin 0.5mm Flip Lock,43,45
5205,Limit Switch Big - Short Lever,3,37
5174,"OLED Display Screen 0.96"" Blue",3,300
5158,Limit Switch - Basic,4,20
5186,Limit Switch - Short Lever,56,28
5196,Limit Switch - Short Roller,67,38
5199,Fuse Holder - Panel Mount for 5x20mm Fuses,8,20
5197,Limit Switch - Curve Short Lever,65,40
4368,AC Power Socket - Screw Mount - IEC 60320 C14 - 2500W (250Vx10A),8,18
5184,AC Power Socket with Fuse Holder - Screw Mount - IEC C14,34,35
5163,Lithum Battery Charger with Protection TP4056 - MicroUSB,3,145
5168,Red Knob for 6MM Shaft Encoders & Pots,4,8
5132,Audio & Signal isolation transformer 600:600,4,58
5100,3.3uH (3R3) SMD 3mm Inductor,22,12
5099,10uH (100) SMD 3mm Inductor,2,12
3870,Relay 12V,3,22
5348,4P Housing JST VH 3.96mm,3,4
5183,3P Housing JST VH 3.96mm,1,3
5182,Crimping pins for JST VH 3.96mm,2,2
5180,Crimping Tool for Molex KK CPU type connectors (YAC13),2,2250
5162,2P Housing JST VH 3.96mm,3,2
5117,FRC IDC Crimping Tool HT-214,3,1475
5096,4P Header JST VH 3.96mm,3,5
5095,3P Header JST VH 3.96mm,4,4
5094,3P Header Empty Middle JST VH 3.96mm,5,4
5093,2P Header JST VH 3.96mm,5,3
3951,Tactile Switch 6x6x7mm,5,2
5473,Piezo Element - 20mm,22,10
5052,Tactile Switch SMD 3x6mm Side Press,44,3
5051,Bright While LED SMD Package PLCC2 (1210 3528),2,2
5050,DC Socket - Snap Panel Mount - Suitable for 5.5x2.1mm DC Pins,4,12
5049,Red Square Cap for Omron B3F Series Switches,5,2
5048,Black Square Cap for Omron B3F Series Switches,5,2
5047,Green Square Cap for Omron B3F Series Switches,6,2
5046,White Square Cap for Omron B3F Series Switches,2,2
5045,Yellow Square Cap for Omron B3F Series Switches,4,2
5044,Blue Square Cap for Omron B3F Series Switches,5,2
5043,White Round Cap for Omron B3F Series Switches,5,3
5042,Green Round Cap for Omron B3F Series Switches,5,3
5041,Yellow Round Cap for Omron B3F Series Switches,335,3
5040,Blue Round Cap for Omron B3F Series Switches,53,3
5039,Red Round Cap for Omron B3F Series Switches,4,3
5028,Transparent Cover for square switch caps,3,3
4339,Black Round Cap for Omron B3F Series Switches,3,3
4338,Tactile Switch Square Head - Omron B3F-4055 - 12x12x7.3mm,6,10
5156,Crimping Tool for JST XH/VH type connectors (YAC12),3,3500
5139,Crimping Pins for JST XH 2.5mm,8,1
5134,Crimping Tool for JST XH/VH type connectors (YAC12),33,3500
5133,Crimping Tool for Minifit connectors (YAC4),3,2350
5086,FDS9435A (9435A) SOIC8 P-CH MOSFET,76,15
5084,IRLR2905Z (LR2905) TO252 N-CH MOSFET,4,36
5083,AO3402 (A29T) SOT23 N-CH MOSFET,3,5
5080,AO3415 AF SOT23 P-CH MOSFET,6,12
5076,FDV301N-NL SOT23 N-CH MOSFET,56,12
5075,AO3416 AG SOT23 N-CH MOSFET,5,12
5072,IRF7832TRPBF (IRF7832) SOIC8 N-CH MOSFET,5,25
