Titulo;Autor;Editora; Valor 
L'azur Blasé ou Ensaio do Fracasso sobre o Humor;Guilherme Gontijo Flores;Atelie; 44,90 
Lacraus;Miguel Jorge;Atelie; 51,00 
Laetitia, sp;Gabriel Pedrosa;Atelie; 36,00 
Lei n. 12.343 de 2 de Dezembro de 2010;-;Atelie; 38,00 
Leitor Segundo G.H., O - Uma Análise do Romance A Paixão Segundo G.H. de Clarice Lispector;Emília Amaral;Atelie; 48,00 
Leituras Desarquivadas;João Alexandre Barbosa;Atelie; 56,00 
Leituras Imediatas;Jerusa Pires Ferreira;Atelie; 33,00 
Leituras Indispensáveis 2;Aziz Ab Sáber;Atelie; 23,00 
Lembranças de Esquecer;Camilo Guimarães;Atelie; 29,80 
Leniza & Elis;Ariovaldo José Vidal, Joaquim Alves de Aguiar;Atelie; 44,00 
Leopardo dos Olhos de Fogo;Carlos Eugênio Marcondes de Moura;Atelie; 52,00 
Letras e Memória - Uma Breve História da Escrita;Adovaldo Fernandes Sampaio;Atelie; 98,00 
Leão, o Africano;Murilo Sebe Bon Meihy;Atelie; 51,00 
Lições de Taxidermia;Fernando Antônio Dusi Rocha;Atelie; 45,00 
Lições do Acaso;Luis Carlos de Menezes;Atelie; 45,00 
Lição Aproveitada, A - Modernismo e Cinema em Mário de Andrade;João Manuel dos Santos Cunha;Atelie; 48,00 
Liberalismo e Natureza - A Propriedade em John Locke;Rodrigo Suzuki Cintra;Atelie; 45,00 
Linguística Cognitiva - Uma Visão Geral e Aplicada;Antônio Suárez Abreu;Atelie; 43,00 
Lira dos Vinte Anos;Álvares de Azevedo, José Emílio Major Neto;Atelie; 48,80 
Literatulogia;Janilto Andrade;Atelie; 26,00 
Literatura Comparada e Relações Comunitárias, Hoje;Benjamin Abdala Jr.;Atelie; 50,00 
Literatura e Memória Política - Angola. Brasil. Moçambique. Portugal;Benjamin Abdala Jr., Rejane Vecchia Rocha e Silva;Atelie; 52,00 
Literatura Grega: Irradiações;Donaldo Schüler;Atelie; 57,00 
Literatura, História e Política (3a. ed.);Benjamin Abdala Jr.;Atelie; 65,00 
Livro - Revista do NELE;NELE - Núcleo de Estudos do Livro e da Edição/USP;Atelie; 33,00 
Livro 7/8 - revista do NELE;NELE - Núcleo de Estudos do Livro e da Edição/USP;Atelie; 88,00 
Livro das Origens, O;Geraldo Holanda Cavalcanti;Atelie; 85,00 
Livro e Liberdade;Luciano Canfora;Atelie; 31,00 
Livro n. 6 - Revista do NELE;NELE - Núcleo de Estudos do Livro e da Edição/USP;Atelie; 88,00 
Livro n.3 - Revista do NELE;NELE - Núcleo de Estudos do Livro e da Edição/USP;Atelie; 53,00 
Livro n.4 - Revista do NELE;NELE - Núcleo de Estudos do Livro e da Edição/USP;Atelie; 55,00 
Livro n.5 - Revista do NELE;NELE - Núcleo de Estudos do Livro e da Edição/USP;Atelie; 77,00 
Livro no Jornal, O;Isabel Travancas;Atelie; 42,00 
Livros e Leituras na Espanha do Século de Ouro;Antonio Castillo Gómez;Atelie; 49,00 
Livros e Subversão - Seis Estudos;Sandra Reimão;Atelie; 52,00 
Livros Proibidos, Ideias Malditas;Maria Luiza Tucci Carneiro;Atelie; 57,00 
Livros, Editoras & Projetos;Jerusa Pires Ferreira, Jacó Guinsburg, Plinio Martins Filho, Maria Otilia Bocchini;Atelie; 30,00 
Lodo;Luis Dolhnikoff;Atelie; 62,00 
Lâmina do Tempo;Moacyr Godoy Moreira;Atelie; 37,50 
Lâmpada da Memória, A;John Ruskin;Atelie; 38,00 
Luci Collin - Antologia Poética (1984-2018);Luci Collin;Atelie; 39,90 
Lugar, Tempo, Olhar - Arte Brasileira na França Românica;Anne Louyot;Atelie; 75,00 
Lusíadas, Os - Episódios;Luís de Camões, Ivan Teixeira;Atelie; 46,50 
Machado e Rosa - Leituras Críticas;Marli Fantini Scarpelli;Atelie; 85,00 
Macunaíma;Mário de Andrade;Atelie; 310,00 
Maias, Os;Eça de Queirós;Atelie; 83,00 
Males do Tabaco e Outras Peças em um Ato, Os;Anton Tchékhov;Atelie; 34,00 
Males do Tabaco, Os (3a. ed.);Anton Tchékhov;Atelie; 39,00 
Malhas da Cultura 1, As;José Guilherme Pereira Leite;Atelie; 43,00 
Malhas da Cultura 2, As;José Guilherme Pereira Leite;Atelie; 45,00 
Manuais de Desenho da Escrita, Os;Maria Helena Werneck Bomeny;Atelie; 210,00 
